RES,Subspace,Method,RUN,ACC
2,AllperCh,RF,31,28.4600389863548
2,AllperCh,RF,32,43.0799220272905
2,AllperCh,RF,33,44.6393762183236
2,AllperCh,RF,34,45.6018518518519
2,AllperCh,RF,35,37.9084967320261
2,AllperCh,RF,36,37.037037037037
2,AllperCh,RF,37,40.5228758169935
2,AllperCh,RF,38,39.3762183235867
2,AllperCh,RF,39,49.0196078431372
2,AllperCh,RF,40,38.1263616557734
2,LSTM,KNN,1,42.1052631578947
2,LSTM,KNN,2,47.3684210526316
2,LSTM,KNN,3,57.8947368421053
2,LSTM,KNN,4,38.8888888888889
2,LSTM,KNN,5,73.6842105263158
2,LSTM,KNN,6,57.8947368421053
2,LSTM,KNN,7,27.7777777777778
2,LSTM,KNN,8,63.1578947368421
2,LSTM,KNN,9,35.2941176470588
2,LSTM,KNN,10,50
2,LSTM,KNN,11,47.3684210526316
2,LSTM,KNN,12,47.3684210526316
2,LSTM,KNN,13,77.7777777777778
2,LSTM,KNN,14,55.5555555555556
2,LSTM,KNN,15,35.2941176470588
2,LSTM,KNN,16,35.2941176470588
2,LSTM,KNN,17,37.5
2,LSTM,KNN,18,42.1052631578947
2,LSTM,KNN,19,58.8235294117647
2,LSTM,KNN,20,44.4444444444444
2,LSTM,KNN,21,44.4444444444444
2,LSTM,KNN,22,44.4444444444444
2,LSTM,KNN,23,27.7777777777778
2,LSTM,KNN,24,33.3333333333333
2,LSTM,KNN,25,25
2,LSTM,KNN,26,21.0526315789474
2,LSTM,KNN,27,44.4444444444444
2,LSTM,KNN,28,33.3333333333333
2,LSTM,KNN,29,20
2,LSTM,KNN,30,38.8888888888889
2,LSTM,KNN,31,31.5789473684211
2,LSTM,KNN,32,52.6315789473684
2,LSTM,KNN,33,47.3684210526316
2,LSTM,KNN,34,25
2,LSTM,KNN,35,47.0588235294118
2,LSTM,KNN,36,36.8421052631579
2,LSTM,KNN,37,52.9411764705882
2,LSTM,KNN,38,57.8947368421053
2,LSTM,KNN,39,35.2941176470588
2,LSTM,KNN,40,52.9411764705882
2,LSTM,RF,1,52.6315789473684
2,LSTM,RF,2,36.8421052631579
2,LSTM,RF,3,21.0526315789474
2,LSTM,RF,4,38.8888888888889
2,LSTM,RF,5,31.5789473684211
2,LSTM,RF,6,52.6315789473684
2,LSTM,RF,7,38.8888888888889
2,LSTM,RF,8,63.1578947368421
2,LSTM,RF,9,17.6470588235294
2,LSTM,RF,10,61.1111111111111
2,LSTM,RF,11,63.1578947368421
2,LSTM,RF,12,52.6315789473684
2,LSTM,RF,13,50
2,LSTM,RF,14,33.3333333333333
2,LSTM,RF,15,41.1764705882353
2,LSTM,RF,16,41.1764705882353
2,LSTM,RF,17,31.25
2,LSTM,RF,18,36.8421052631579
2,LSTM,RF,19,35.2941176470588
2,LSTM,RF,20,27.7777777777778
2,LSTM,RF,21,61.1111111111111
2,LSTM,RF,22,61.1111111111111
2,LSTM,RF,23,33.3333333333333
2,LSTM,RF,24,44.4444444444444
2,LSTM,RF,25,35
2,LSTM,RF,26,26.3157894736842
2,LSTM,RF,27,50
2,LSTM,RF,28,50
2,LSTM,RF,29,45
2,LSTM,RF,30,44.4444444444444
2,LSTM,RF,31,31.5789473684211
2,LSTM,RF,32,63.1578947368421
2,LSTM,RF,33,47.3684210526316
2,LSTM,RF,34,31.25
2,LSTM,RF,35,41.1764705882353
2,LSTM,RF,36,42.1052631578947
2,LSTM,RF,37,52.9411764705882
2,LSTM,RF,38,57.8947368421053
2,LSTM,RF,39,58.8235294117647
2,LSTM,RF,40,41.1764705882353
2,LSTM_Ch1,KNN,1,36.8421052631579
2,LSTM_Ch1,KNN,2,47.3684210526316
2,LSTM_Ch1,KNN,3,36.8421052631579
2,LSTM_Ch1,KNN,4,50
2,LSTM_Ch1,KNN,5,42.1052631578947
2,LSTM_Ch1,KNN,6,42.1052631578947
2,LSTM_Ch1,KNN,7,27.7777777777778
2,LSTM_Ch1,KNN,8,42.1052631578947
2,LSTM_Ch1,KNN,9,29.4117647058824
2,LSTM_Ch1,KNN,10,33.3333333333333
2,LSTM_Ch1,KNN,11,36.8421052631579
2,LSTM_Ch1,KNN,12,15.7894736842105
2,LSTM_Ch1,KNN,13,38.8888888888889
2,LSTM_Ch1,KNN,14,38.8888888888889
2,LSTM_Ch1,KNN,15,35.2941176470588
2,LSTM_Ch1,KNN,16,23.5294117647059
2,LSTM_Ch1,KNN,17,43.75
2,LSTM_Ch1,KNN,18,47.3684210526316
2,LSTM_Ch1,KNN,19,41.1764705882353
2,LSTM_Ch1,KNN,20,38.8888888888889
2,LSTM_Ch1,KNN,21,38.8888888888889
2,LSTM_Ch1,KNN,22,33.3333333333333
2,LSTM_Ch1,KNN,23,50
2,LSTM_Ch1,KNN,24,16.6666666666667
2,LSTM_Ch1,KNN,25,35
2,LSTM_Ch1,KNN,26,21.0526315789474
2,LSTM_Ch1,KNN,27,11.1111111111111
2,LSTM_Ch1,KNN,28,11.1111111111111
2,LSTM_Ch1,KNN,29,45
2,LSTM_Ch1,KNN,30,16.6666666666667
2,LSTM_Ch1,KNN,31,31.5789473684211
2,LSTM_Ch1,KNN,32,26.3157894736842
2,LSTM_Ch1,KNN,33,36.8421052631579
2,LSTM_Ch1,KNN,34,37.5
2,LSTM_Ch1,KNN,35,47.0588235294118
2,LSTM_Ch1,KNN,36,47.3684210526316
2,LSTM_Ch1,KNN,37,23.5294117647059
2,LSTM_Ch1,KNN,38,42.1052631578947
2,LSTM_Ch1,KNN,39,41.1764705882353
2,LSTM_Ch1,KNN,40,23.5294117647059
2,LSTM_Ch1,RF,1,36.8421052631579
2,LSTM_Ch1,RF,2,42.1052631578947
